Site_ID,Cluster_3,Site,Region,Location,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,FWI,Final_FWI,FWI_MTH,FWI_dist_m,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,GI_Status,SUM_Changed_Num,WLC_RISK,RISK_CLASS
SITE_0032,1,Anchialos Necropolis,Burgas,Pomorie,0,,0,,0,,0,,1,Necropolis,0,,0,,0,,Burial deposits / unspecified construction,3,Mostly subsurface,,,2.0214524,1.5558490,0.4817096,-0.8381135,13172.0273438,0.0000000,,0.839005624828902,Urban excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,2,Near≤400m,285.549371482180334,0.096770786000000,,112,Discontinuous urban fabric,1,1,3,3,,7,99% cold spot,0.000000000000000,3.032546478163639,Low
SITE_0033,1,Pomorie tomb,Burgas,Pomorie,0,,0,,0,,0,,1,Necropolis,0,,0,,0,,Mortared mixed masonry (stone + brick),3,Mostly subsurface,,Architectural-construction,23.1599827,12.9769039,-0.8998429,-0.0906994,11388.2841797,0.0000000,1.6192387,0.962883716104072,Direct,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,2,Near≤400m,301.135681237534641,0.096770786000000,,222,Fruit trees and berry plantations,1,1,3,3,3,3,99% cold spot,0.000000000000000,2.351019744754995,Low
SITE_0034,1,Begliktash,Burgas,Primorsko,0,,0,,1,Rock sanctuary,0,,0,,0,,0,,0,,Rock-cut / bedrock construction,2,Partially exposed,,Archaeological (single),127.3795471,2.4758112,-0.5208268,-0.4600073,22403.0859375,0.0000000,0.1023846,0.097475615201453,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,23063.387085429429135,23063.387085429429135,3,Direct,112.121863380536766,0.073700730000000,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,5,1,5,99% cold spot,0.000000000000000,2.761951633910441,Low
SITE_0035,1,Chengerska mound,Burgas,Primorsko,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,,55.4539223,4.7316608,0.8157890,-0.5342247,21867.4433594,0.0000000,0.0096051,0.009559269284705,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,20165.285995349604491,20165.285995349604491,2,Direct,82.717044824663262,0.073700730000000,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,3,1,7,99% cold spot,0.000000000000000,2.853491360721569,Low
SITE_0036,1,Mound Stamopolu,Burgas,Primorsko,0,,0,,0,,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),3,Mostly subsurface,,Archaeological (single),7.4614587,9.1353045,0.3546652,0.4622291,22765.0214844,0.0000000,0.0042952,0.004286050288027,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,20381.220562651989894,21227.139804104976065,2,Direct,81.784765886540228,0.073700730000000,Undifferentiated Sediment,311,Broad-leaved forest,1,1,3,3,1,7,99% cold spot,0.000000000000000,2.853491360721569,Low
SITE_0037,1,Oriospotamo,Burgas,Primorsko,0,,0,,0,,0,,1,Town,1,Fortified town,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,,17.5929222,7.2380676,0.2226603,-0.9649380,21494.9550781,0.0000000,,0.839005624828902,Coastal excl.,16.882352941176471,15.533333333333333,Nearest valid cell,23165.775803291486227,23164.870971822889260,,NoData>400m,406.300366591054683,0.073700730000000,,523,Sea and ocean,1,1,3,,,1,99% cold spot,0.000000000000000,1.745816912757584,Very Low
SITE_0038,1,Ranuli Fortress,Burgas,Primorsko,0,,0,,1,Enclosure,1,Hillfort,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,,107.8479614,23.7328243,0.2596841,-0.9258038,20083.2148438,0.0000000,0.1716188,0.158386424130758,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,20708.261018258355762,20708.261018258355762,4,Direct,24.764307423730560,0.073700730000000,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,7,1,1,99% cold spot,0.000000000000000,2.331082114862419,Low
SITE_0039,1,Thera Fortress foundation,Burgas,Primorsko,0,,0,,0,,1,Hillfort,1,Fort,0,,0,,0,,Mortared stone masonry,1,Exposed,,,17.0094891,8.2184963,-0.5579344,-0.7788045,24287.9316406,0.0000000,0.8117980,0.594319709403898,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,24843.279414623921184,24861.865394344495144,,NoData>400m,551.656198749765167,0.073700730000000,,324,Transitional woodland-shrub,1,1,3,,1,1,99% cold spot,0.000000000000000,1.670823634758045,Very Low
SITE_0040,1,Rusokastro Fortress,Burgas,Rusokastro,0,,0,,0,,0,,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,102.3640213,12.9872179,-0.6919103,0.4829714,11748.0292969,0.0000000,0.4882833,0.397623332372185,Direct,26.000000000000000,21.266666666666666,Direct,-1.000000000000000,0.000000000000000,4,Direct,66.541226683485874,0.096749610000000,Intermediate Volcanic,321,Natural grasslands,1,1,5,7,1,1,99% cold spot,0.000000000000000,2.918794033447541,Low
SITE_0041,1,Apollonia Pontica Cape Skamni,Burgas,Sozopol,0,,0,,0,,1,Sanctuary,0,,1,Basilica,1,Fortified settlement,0,,Mortared stone masonry,1,Exposed,,Architectural-Historical Reserve,12.4433479,11.5463696,0.3872742,0.8687286,12881.3310547,0.0000000,,0.839005624828902,Coastal excl.,13.882352941176471,12.600000000000000,Nearest valid cell,18405.496179044646851,18405.496179044646851,,NoData>400m,649.480979698273131,0.079625820000000,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,,,1,99% cold spot,0.000000000000000,1.745816912757584,Very Low
