Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0168,Ancient Theatre of Philippopolis,3,3.545834047350000,0.824811463258000,0.409478645432000,9,0
SITE_0169,Domus Eirene,1,4.934111395500000,1.019596010030000,0.307920112206000,9,0
SITE_0170,East Gate Philippopolis,1,5.001298513030000,0.571754356996000,0.567488405969000,9,0
SITE_0171,Episcopal Great Basilica,1,5.239034765640000,1.105111379380000,0.269111347944000,9,0
SITE_0172,Hellenistic buildings,1,5.983255741000000,1.019596010030000,0.307920112206000,9,0
SITE_0173,Hisarya Kapia,1,5.001298513030000,0.486238987646000,0.626797733499000,9,0
SITE_0174,Inner Fortress wall of Philippopolis,3,3.631400577740000,0.486238987646000,0.626797733499000,9,0
SITE_0175,Minor Basilica,1,5.306221883180000,0.925767222926000,0.354566975258000,9,0
SITE_0176,Nebet Tepe,1,5.001298513030000,0.486238987646000,0.626797733499000,9,0
SITE_0177,Outer Fortress wall of Philippopolis,1,5.001298513030000,0.571754356996000,0.567488405969000,9,0
SITE_0178,Peristyle building and street intersection,1,4.934111395500000,1.019596010030000,0.307920112206000,9,0
SITE_0179,Philippopolis Roman Baths I,1,4.934111395500000,0.793930682620000,0.427235793350000,9,0
SITE_0180,Remains of Fortress wall of Philippopolis,1,4.934111395500000,1.019596010030000,0.307920112206000,9,0
SITE_0181,Roman Forum of Philippopolis,1,4.866924277960000,1.019596010030000,0.307920112206000,9,0
SITE_0182,Roman Stadium of Philippopolis,1,4.934111395500000,0.455358207009000,0.648851558404000,9,0
SITE_0183,Spas Bair hill,1,4.290935529940000,1.518301526230000,0.128938403110000,9,0
SITE_0184,Belintash,2,6.417064608120000,2.609045586930000,0.009079514586570,9,3
SITE_0185,Chetinyova Mogila,3,5.683036880800000,-2.821666515910000,0.004777482821070,9,-3
SITE_0186,Horizon mound,1,3.193413213880000,-2.821666515910000,0.004777482821070,9,-3
SITE_0187,Royal tomb,1,4.465347315680000,-2.821666515910000,0.004777482821070,9,-3
SITE_0188,Church of St. Nicholas,1,5.306221883180000,1.035036400350000,0.300651926889000,9,0
